Country  Name   Lat    Long   Elevation
Argentina	Los Amarillos	-29.2934416	-70.0005035	5584.0	m
Argentina	Marancales I	-28.4301848	-69.6327623	5521.0	m
Argentina	Marancales	-28.4480578	-69.6626083	5688.0	m
Argentina	Cerro Negro o Volcán	-25.0318335	-68.3787346	5591.0	m
Argentina	Cerro Silla	-24.7906493	-68.5665698	5308.0	m
Croatia	Ivanš?ica	46.1819364	16.1291625	1059.0	m
Hungary	Kékes	47.8728619	20.008207	1014.0	m
Croatia	Psunj	45.3865766	17.3317247	986.0	m
Croatia	Papuk	45.5227525	17.6046834	953.0	m
Iceland	Hekla	64.001427	-19.708028	1491.0	m
Iceland	Laki	64.084961	-18.179042	818.0	m
Iceland	Hvannadalshnúkur	64.044082	-16.65378	2119.0	m
Argentina	Cazador	-27.193381	-68.559162	6658.0	m
Argentina	Chivinar	-24.343917	-67.34557	4309.0	m
Argentina	Mount Champaquí	-31.983017	-64.938788	2790.0	m
Argentina	Ventana Mountains	-38.049114	-62.019731	1134.0	m
Argentina	Loma del Muerto	-51.5840883	-72.3382719	760.0	m
Argentina	Cerro Monte Chico	-51.2010015	-72.3040777	719.0	m
Argentina	Cerro Daudet	-50.775	-73.1025	1442.0	m
Argentina	Cerro Huemul	-49.4233108	-73.034338	2677.0	m
Argentina	Cerro Grande	-49.3384295	-73.095715	2751.0	m
Argentina	Adela Sur	-49.3127381	-73.0947731	2840.0	m
Argentina	Cerro Pollone	-49.2530555	-73.0883646	2579.0	m
Argentina	Cerro Rasgado	-48.0720659	-72.3839344	1840.0	m
Argentina	Pico Triangular Sur	-46.985165	-71.9185909	2588.0	m
Argentina	Cerro Cabeza Blanca	-46.2649346	-71.7360785	1007.0	m
Argentina	Cerro Teta	-46.197283	-71.7810344	1784.0	m
Argentina	Cerro Tres Picos	-39.4805798	-71.4692477	1764.0	m
Argentina	Cerro Kiñewen	-34.4661059	-70.0789792	4130.0	m
Argentina	Cerro Punta Arena	-39.1649664	-71.4010081	2090.0	m
Argentina	Cerro La Mano	-36.2170788	-70.6330193	3006.0	m
Argentina	Marmolejo Norte Antecumbre Norte	-33.701225	-69.8713732	5399.0	m
Indonesia	Bulu Rantekombola	-3.35	120.01667	3455.0	m
Indonesia	Mount Semeru	-8.1123957	112.9231715	3676.0	m
Indonesia	Mount Abang	-8.2834319	115.4220368	2151.0	m
Indonesia	Mount Agung	-8.3414438	115.5073727	2567.0	m
Indonesia	Mount Rinjani	-8.414397	116.466408	3726.0	m
Indonesia	Mount Kerinci	-1.702859	101.262711	3805.0	m
Indonesia	Krakatau	-6.153474	105.434105	813.0	m
Indonesia	Mount Merapi	-7.55	110.433334	2911.0	m
Indonesia	Mount Kawi	-8.006046	112.481942	1250.0	m
Indonesia	Mount Bromo	-7.9440192	112.9550056	2000.0	m
