Country  Name   Lat    Long   Elevation
?Country	Type	Mountain	Latitude	Longitude	Elevation	nullfailed parseLat failed parseLong failed parseElevation 
India	Mountain	Kakkir Malai Mountain	??????	??????	1015 m	nullfailed parseLat failed parseLong 
Italy	Mountain	Cimon della Pala    46.287224	11.820728	3185 m	nullrecord is not valid
Australia	Mountain	Black Johnnys Tier	-42.043811	146.954842 1082 m	nullrecord is not valid
Australia	Mountain	Smith's Hill	??????	??????	67 m	nullfailed parseLat failed parseLong 
Australia	Mountain	Mount Tunbubudla West	-26.963235  152.901278	294 m	nullrecord is not valid
Australia    Mountain	Lowes Mount	-33.619265	149.834375	1150 m	nullrecord is not valid
Australia	Mountain	Mount Lockyer	-22.457122	118.772936 1005 m	nullrecord is not valid
Australia	Mountain	Mount Barnett	-16.750879	125.939541 540 m	nullrecord is not valid
Australia	Mountain	Mount Nicolay    -27.110020	116.359463	358 m	nullrecord is not valid
Australia	Mountain	Prominent Hill	-26419	121.482439	546 m	nullLatitude is off the earth
Australia	Mountain	Teedermully Hill	-32.786553	116.612492	390 ??	nullfailed parseElevation 
Australia	Mountain	Blue Hill    -29.590923	119.574766	402 m	nullrecord is not valid
Australia	Mountain	Haast Bluff	-23.364871	132010	1118 m	nullLongitude is off the earth
Australia	Mountain	McDonald Peak	-28.254342	134.751005	???? m	nullfailed parseElevation 
Australia	Mountain	Davis Hill    -20.932583	140.615988	385 m	nullrecord is not valid
Australia	Mountain	Mount Fitz    -22.459264	150.261297	279 m	nullrecord is not valid
Australia    Mountain	Mount Shanahan	-30.032244	139.500532	364 m	nullrecord is not valid
Australia	Mountain	Mount Oliphant    -30.293461	139.325953	624 m	nullrecord is not valid
Australia	Mountain	Mount Intrepid	-28.741548 142.103176	205 m	nullrecord is not valid
Australia	Mountain	Mount Birkhead	-24.445665	146.297207	626 ??	nullfailed parseElevation 
Australia	Mountain    Mount Walpanara	-27.135077	149.124813	283 m	nullrecord is not valid
Australia	Mountain	Sulcor Mountain	-30.843731	150.812244	693 ??	nullfailed parseElevation 
Australia	Mountain	Byong Hills	-33.069750	147657	345 m	nullLongitude is off the earth
Australia	Mountain    Red Hill	-32.720360	151.376238	203 m	nullrecord is not valid
Australia	Mountain	Round Mountain	-28.333471	153.551445	???? m	nullfailed parseElevation 
Australia	Mountain	Mount Lookout	-30.485885 152.931576	236 m	nullrecord is not valid
Australia	Mountain	Tinebank Mountain	-31.199441	152521	957 m	nullLongitude is off the earth
Australia	Mountain	The Mound	-37.312154	145.020390 458 m	nullrecord is not valid
Australia	Mountain	Mount Kosciuszko	-36.455877	148.263330	???? m	nullfailed parseElevation 
Australia	Mountain	Mount Hump	-37629	146.783867	1238 m	nullLatitude is off the earth
Australia	Mountain	Five Mile Peak	-38.970887	146.384668	560 ??	nullfailed parseElevation 
Australia	Mountain	Snowy North	-42.861118	146.645765	???? m	nullfailed parseElevation 
Australia    Mountain	Mount Dempsey	-15.862361	130.470715	264 m	nullrecord is not valid
Australia	Mountain	Mount Gosse	-15.542180	131503	251 m	nullLongitude is off the earth
